Lowest LR, MM: 0.000171875, 0.25
Lowest Error: 3.86530924832325
0.25 0.00015625 5.20854614203946
0.25 0.000171875 3.86530924832325
0.25 0.0001875 4.69955253351076
0.25 0.000203125 4.45096914325886
0.25 0.00021875 6.38680175384981
0.25 0.000234375 5.56127922994841
0.25 0.00025 5.52692849645939
0.25 0.000265625 5.85288501347563
0.25 0.00028125 4.37703766725993
0.25 0.000296875 5.2667392753295
0.2625 0.00015625 5.28590932994533
0.2625 0.000171875 5.22698755788706
0.2625 0.0001875 5.80051519821878
0.2625 0.000203125 4.71618616338895
0.2625 0.00021875 5.07545930515624
0.2625 0.000234375 4.99623133464897
0.2625 0.00025 5.89792952365721
0.2625 0.000265625 5.1470729659226
0.2625 0.00028125 6.48271517859774
0.2625 0.000296875 5.25728086746099
0.275 0.00015625 4.98458858439201
0.275 0.000171875 5.6856335783292
0.275 0.0001875 5.45908880230902
0.275 0.000203125 5.48513447411918
0.275 0.00021875 5.37177880380584
0.275 0.000234375 5.46231573888965
0.275 0.00025 4.81911790900916
0.275 0.000265625 5.17543595614447
0.275 0.00028125 5.49000507853398
0.275 0.000296875 4.20148812639022
0.2875 0.00015625 5.13750719455342
0.2875 0.000171875 4.89838777991423
0.2875 0.0001875 5.05336001819548
0.2875 0.000203125 4.99380252111529
0.2875 0.00021875 4.94976171606443
0.2875 0.000234375 4.43110602501029
0.2875 0.00025 4.47321768928163
0.2875 0.000265625 5.3585289619011
0.2875 0.00028125 5.90870918416856
0.2875 0.000296875 5.78948580442351
0.3 0.00015625 5.6683750597966
0.3 0.000171875 5.04158893469037
0.3 0.0001875 5.73569769365926
0.3 0.000203125 4.83619706905247
0.3 0.00021875 5.66043552761155
0.3 0.000234375 4.75051777401394
0.3 0.00025 5.31876981310121
0.3 0.000265625 5.26725638140122
0.3 0.00028125 5.28553170074753
0.3 0.000296875 5.34887179178123
0.3125 0.00015625 5.97932939537433
0.3125 0.000171875 5.07807606201204
0.3125 0.0001875 4.58352587084712
0.3125 0.000203125 4.84451066946002
0.3125 0.00021875 4.77568342631084
0.3125 0.000234375 4.97969665549892
0.3125 0.00025 5.04362884328933
0.3125 0.000265625 4.03396829318063
0.3125 0.00028125 5.74493574824774
0.3125 0.000296875 6.32824410948928
0.325 0.00015625 4.69233018706443
0.325 0.000171875 4.56493521817662
0.325 0.0001875 4.93327891531537
0.325 0.000203125 5.22179975594256
0.325 0.00021875 5.49300709029068
0.325 0.000234375 5.00369453657707
0.325 0.00025 4.85331089899956
0.325 0.000265625 4.12807003240212
0.325 0.00028125 6.28924371025459
0.325 0.000296875 5.70943760368248
0.3375 0.00015625 6.43211465520707
0.3375 0.000171875 6.60531737873708
0.3375 0.0001875 5.09211264516813
0.3375 0.000203125 6.24769576366604
0.3375 0.00021875 4.87720914902581
0.3375 0.000234375 5.17846410140122
0.3375 0.00025 5.98490260621665
0.3375 0.000265625 5.66002154449679
0.3375 0.00028125 5.71806737765348
0.3375 0.000296875 6.57649091155847
0.35 0.00015625 4.55875010792132
0.35 0.000171875 5.39112799573971
0.35 0.0001875 5.55361219400836
0.35 0.000203125 5.47478746142258
0.35 0.00021875 5.1983522428678
0.35 0.000234375 5.7216437757022
0.35 0.00025 4.95547183671675
0.35 0.000265625 5.69019305855272
0.35 0.00028125 5.65076063528836
0.35 0.000296875 5.92879539136675
0.3625 0.00015625 5.33616664184631
0.3625 0.000171875 5.98379240774807
0.3625 0.0001875 4.37783482772802
0.3625 0.000203125 5.06589670572877
0.3625 0.00021875 5.11741126851676
0.3625 0.000234375 4.78414985044316
0.3625 0.00025 5.33923838270447
0.3625 0.000265625 5.16202798471402
0.3625 0.00028125 5.85801826378221
0.3625 0.000296875 5.9448775905112
0.375 0.00015625 6.03935843104792
0.375 0.000171875 5.24570200897994
0.375 0.0001875 4.80435794261084
0.375 0.000203125 5.91231810146936
0.375 0.00021875 4.34598324700185
0.375 0.000234375 4.99381749660465
0.375 0.00025 4.9688875359735
0.375 0.000265625 5.8052507526207
0.375 0.00028125 5.58033935601619
0.375 0.000296875 4.67142448261911
0.3875 0.00015625 4.88479724569566
0.3875 0.000171875 4.22358931856977
0.3875 0.0001875 5.36331979576503
0.3875 0.000203125 4.98537652721416
0.3875 0.00021875 6.10895840186582
